total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,batch2_score,trial_id
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,43,0.44538487136715993,16
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,43,0.4081719946967166,16
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,37,0.4199656221010842,17
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,37,0.38324480184612475,17
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,47,0.44641122227189944,18
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,47,0.3860123543702166,18
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,0.44538487136715993,19
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,19
8,6,0.75,8.619118000000082,1.0773897500000102,1.0584000000000149,-0.9131060000000191,160,14,20.0,1.8121540531522125,1.5757565608934434,0.6815450074983379,-1.9260738507853945,88,72,no-cost,10,30,0.3605608262036175,20
8,5,0.625,5.419118000000133,0.6773897500000167,0.6484000000000267,-1.3931060000000106,160,14,20.0,1.529793595891881,1.3538433447403637,0.5656452467807763,-2.2365138403044305,88,72,cost,10,30,0.30325461296430345,20
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,40,0.44538487136715993,21
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,0.4081719946967166,21
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,41,0.44641122227189944,22
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,41,0.3860123543702166,22
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,46,0.44538487136715993,23
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,46,0.4081719946967166,23
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,43,0.44641122227189944,24
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,43,0.3860123543702166,24
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,39,0.4199656221010842,25
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,39,0.38324480184612475,25
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,0.44538487136715993,26
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,26
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,36,0.4575396037366762,27
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,36,0.3947222132970936,27
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,40,0.44538487136715993,28
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,0.4081719946967166,28
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,44,0.44641122227189944,29
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,44,0.3860123543702166,29
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,38,0.4199656221010842,30
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,38,0.38324480184612475,30
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,38,0.44538487136715993,31
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,38,0.4081719946967166,31
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,41,0.44538487136715993,32
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,41,0.4081719946967166,32
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,35,0.44538487136715993,33
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,35,0.4081719946967166,33
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,39,0.44641122227189944,34
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,39,0.3860123543702166,34
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,42,0.4199656221010842,35
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,42,0.38324480184612475,35
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,37,0.44641122227189944,36
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,37,0.3860123543702166,36
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,43,0.44538487136715993,37
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,43,0.4081719946967166,37
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,40,0.4583217228981872,38
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,40,0.3699438740445635,38
8,7,0.875,17.02537399999998,2.1281717499999977,1.6574059999999835,-0.3324899999999631,218,21,27.25,1.9675969134515578,1.6998367038243165,0.8695206850272119,-2.8932443673980326,125,93,no-cost,7,48,0.4575396037366762,39
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,48,0.3947222132970936,39
8,6,0.75,13.33029800000004,1.666287250000005,1.2528160000000121,-1.0044460000000144,186,18,23.25,1.8448592261846648,1.5261774489946,0.6605041505556561,-1.9260738507853945,104,82,no-cost,9,32,0.3990213755775327,40
8,6,0.75,9.610298000000107,1.2012872500000134,0.6928160000000183,-1.5044460000000148,186,18,23.25,1.5839993094151952,1.2436638542071217,0.5466679121567828,-2.3475074293131306,104,82,cost,9,32,0.3653677623104658,40
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,43,0.44538487136715993,41
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,43,0.4081719946967166,41
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,44,0.44538487136715993,42
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,44,0.4081719946967166,42
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,41,0.4199656221010842,43
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,41,0.38324480184612475,43
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,45,0.44641122227189944,44
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,45,0.3860123543702166,44
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,38,0.44538487136715993,45
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,38,0.4081719946967166,45
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,50,0.4199656221010842,46
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,50,0.38324480184612475,46
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,0.44538487136715993,47
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,47
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,5,46,0.4583217228981872,48
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,5,46,0.3699438740445635,48
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,40,0.44641122227189944,49
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,40,0.3860123543702166,49
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,43,0.4199656221010842,50
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,43,0.38324480184612475,50
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,42,0.44538487136715993,51
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,0.4081719946967166,51
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,41,0.44538487136715993,52
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,41,0.4081719946967166,52
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,44,0.44538487136715993,53
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,44,0.4081719946967166,53
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,42,0.44641122227189944,54
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,42,0.3860123543702166,54
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,39,0.44538487136715993,55
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,39,0.4081719946967166,55
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,40,0.4199656221010842,56
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,40,0.38324480184612475,56
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,45,0.44538487136715993,57
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,45,0.4081719946967166,57
8,7,0.875,15.672274000000074,1.9590342500000093,1.5756450000000033,-0.5669659999999577,203,20,25.375,1.9199452016936023,1.5293946806982373,0.7775050819788076,-2.891453718386666,115,88,no-cost,8,43,0.44641122227189944,58
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,43,0.3860123543702166,58
8,7,0.875,11.844164000000069,1.4805205000000086,1.2172710000000198,-0.09654599999994185,163,15,20.375,1.96496624946507,1.642902383305859,0.9498464943039467,-2.138433028865489,89,74,no-cost,10,37,0.4199656221010842,59
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,37,0.38324480184612475,59
8,7,0.875,17.993043999999948,2.2491304999999935,1.7007279999999736,-0.3109419999999474,238,22,29.75,1.8891021954298126,1.5455685562875654,0.8957864396554739,-2.887751891904439,136,102,no-cost,6,41,0.4583217228981872,60
8,5,0.625,13.23304399999995,1.6541304999999937,1.0207279999999819,-0.9309419999999569,238,22,29.75,1.628782601519973,1.3005389715749203,0.723238695484149,-3.009743770160185,136,102,cost,6,41,0.3699438740445635,60
8,7,0.875,15.304930000000038,1.9131162500000047,1.2528160000000121,-0.11950599999996925,187,18,23.375,1.9282857329580472,1.5261774489946,0.943112968639937,-2.2294843052680133,105,82,no-cost,9,40,0.44538487136715993,61
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,0.4081719946967166,61
